"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=4701-A&vs=INTL.4701-34-AFG-BDOLPPP.A&cy=2018&vo=0&v=H&start=1980&end=2018&s=INTL.44-1-AFRC-QBTU.A&showdm=y"
"Tue Nov 12 2019 11:03:31 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"","Dominican Republic","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,37.6514,39.3083,37.1643,37.5155,41.4596,44.454,45.4779,47.9763,51.3977,55.5117,59.4034,63.3925,66.9784,68.1902,72.1372,71.9544,72.8984,79.6508,88.1505,95.6209,98.7293,99.6617,107.935,111.33,114.391,119.939,129.096,138.157,147.299,154.005,164.041
"","Ecuador","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,72.2179,72.4346,74.6076,78.4814,79.67,79.9068,83.6655,85.1283,87.1731,90.7044,92.6233,86.7886,91.386,95.0557,98.9499,101.644,109.99,115.81,120.91,123.558,131.413,132.157,136.816,147.581,155.907,163.619,169.819,169.987,167.902,171.878,173.603
"","Egypt","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,316.107,331.817,350.731,354.515,370.227,380.966,396.103,414.492,435.17,459.065,477.595,506.754,533.957,552.834,565.938,584.005,607.89,635.117,678.648,723.664,775.443,811.92,854.054,868.614,891.026,920.022,946.823,987.751,1030.01,1072.51,1129.42
"","El Salvador","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,19.1179,19.2827,23.3936,23.7444,25.4085,26.8881,28.1484,29.4818,29.7223,30.6551,31.4681,32.1485,32.5089,32.7962,33.3134,33.8338,34.1359,35.0602,36.5822,37.2626,38.0566,37.2626,38.047,39.4991,40.6099,41.5734,42.3969,43.4049,44.5252,45.5597,46.6391
"","Equatorial Guinea","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,1.15917,1.14493,1.17397,1.17775,1.33436,1.46089,1.59792,1.78493,2.40255,4.69127,5.52081,6.80172,7.69208,12.9087,15.5121,17.6205,21.8585,23.8039,25.0655,28.896,34.0393,34.4965,31.418,33.4677,36.2498,34.7515,34.8958,31.7452,28.9102,27.4912,25.4261
"","Eritrea","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.67004,4.80353,5.24828,5.66335,5.76373,5.76451,5.58339,6.07224,6.25474,6.08865,6.17703,6.33606,6.27465,6.36417,5.74157,5.96414,6.095,6.62404,7.08885,7.30506,7.66959,8.03773,8.34316,8.6268,8.946
"","Estonia","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,15.8035,14.8963,14.6518,15.6085,16.4397,18.3793,19.136,18.9721,20.9771,22.3046,23.6601,25.4147,27.0145,29.5468,32.5818,35.1061,33.2035,28.3146,28.954,31.154,32.4958,33.1252,34.0818,34.746,35.9611,37.6705,38.9541
"","Ethiopia","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,29.8779,29.77,30.5817,28.3743,25.8469,29.3009,30.3224,32.1785,36.5331,37.5708,36.0509,37.912,40.2144,43.5527,44.2124,43.2569,49.128,54.9343,60.8863,67.8614,75.1827,81.8006,92.067,104.179,113.188,125.166,138.005,152.347,163.867,180.656,193.586
"","Falkland Islands","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Faroe Islands","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Fiji","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,3.51497,3.98039,4.31282,4.19758,4.36158,4.43693,4.66322,4.7798,5.00923,4.89903,4.96271,5.39943,5.30764,5.41379,5.58704,5.6429,5.94198,5.98357,6.09442,6.03957,6.09996,6.01456,6.195,6.36227,6.45206,6.75751,7.13617,7.41051,7.45922,7.6903,7.9362
"","Finland","billion $2010 ppp",104.5493,105.8812,109.16,112.5099,115.8708,119.6107,122.904,127.3532,133.9175,141.1713,139.826,131.554,127.1803,126.246,131.2204,136.7398,141.7419,150.6047,158.7792,165.8357,175.1803,179.7024,182.722,186.3655,193.6823,199.0678,207.1393,217.8803,219.4505,201.304,207.3277,212.6578,209.6248,208.0347,206.7205,207.7555,213.5144,218.0619,223.4241
"","Former Czechoslovakia","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
