International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=g0q0000g0000100001004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=3002-A&vs=INTL.3-1-AFG-BCF.A&cy=2011&vo=0&v=H&start=1980&s=INTL.44-1-AFRC-QBTU.A&showdm=y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 12 2019 10:54:34 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Former Serbia and Montenegro,bcf,--,--,--,--,--,--,--,--,--,--,--,--,29.876,33.97303,27.8,32,23.696365,24.29672,33.26673,23.978885,19.176045,21.25963,22.95475,13.4197,9.8882,9.8882,--,--,--,--,--,--,--,--,--,--,--,--,-,-
,Former U.S.S.R.,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29823,29404,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-
,Former Yugoslavia,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-
,France,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,156,111.38,120.88,124.767895,118.41,102.801965,91.32459,79.88253,72.996105,66.32157,67.45165,95.70365,84.0497,77.33985,63.21385,65.33275,57.56345,51.91305,48.7347,47.67525,39.5528,36.127245,12.0071,0.600355,0.741615,NA,NA,-,-
,French Guiana,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,French Polynesia,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Gabon,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,87.76428844,94.99735,94.99735,91.11,91.11,91.1127,91.1127,91.1127,91.1127,88.2875,84.0497,81.2245,75.92725,74.1615,74.1615,74.1615,73.4552,73.4552,73.4552,73.4552,76.9867,88.110925,83.62592,83.69655,91.04207,NA,NA,-,-
,"Gambia, The",bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Georgia,bcf,--,--,--,--,--,--,--,--,--,--,--,--,0.71,0,0,0,0,2.1189,2.1189,2.1189,2.1189,2.1189,0.459095,0.7063,0.7063,0.529725,0.35315,0.35315,0.28252,0.35315,0.176575,0.105945,0.07063,0.07063,0.035315,0.35315,NA,NA,-,-
,Germany,bcf,--,--,--,--,--,--,--,--,--,--,--,691,693.8,692.456,733.42192,765.77,824.04021,808.183775,786.641625,883.51067,835.800105,841.76834,843.710665,816.97721,746.947565,738.0835,767.0418,757.400805,672.68012,663.109755,568.677445,561.473185,497.09394,464.851345,367.34663,337.25825,NA,NA,-,-
