Date,International Petrol Consumption,International Petrol Production
Sep-07,222.7398878,254140.753
Oct-07,224.8782622,256396.45899999997
Nov-07,224.70470150000003,255667.259
Dec-07,225.88376150000002,257167.405
Jan-08,225.49282369999997,257231.599
Feb-08,226.13932749999998,257570.51899999997
Mar-08,225.35603089999998,258275.59399999998
Apr-08,224.336442,256841.33899999998
May-08,225.1663574,258924.41199999998
Jun-08,224.9910679,258841.199
Jul-08,227.50091890000002,261792.978
Aug-08,224.59439419999998,258970.108
Sep-08,220.590044,254213.29100000003
Oct-08,225.542826,258829.715
Nov-08,224.26543769999998,258066.49
Dec-08,222.0274421,254218.30399999997
Jan-09,219.0932634,250975.046
Feb-09,220.7040225,252987.698
Mar-09,220.0908647,252705.194
Apr-09,220.26779130000003,253819.14
May-09,219.0918163,253667.86
Jun-09,220.66905419999998,254493.26100000003
Jul-09,222.47309280000002,257001.42899999997
Aug-09,221.56747719999998,255965.879
Sep-09,222.7932781,257195.16100000002
Oct-09,224.1506634,258607.982
Nov-09,224.29642650000002,259041.85199999998
Dec-09,224.2412753,257534.74800000002
Jan-10,224.0408853,258645.46300000002
Feb-10,226.3347858,260379.49800000002
Mar-10,227.02819080000003,261508.05899999998
Apr-10,227.12368880000002,262426.19899999996
May-10,227.35948599999998,263637.088
Jun-10,228.66039619999998,263969.419
Jul-10,229.16463810000002,264724.063
Aug-10,229.424446,264452.12100000004
Sep-10,230.05222819999997,265001.119
Oct-10,228.5876134,264403.709
Nov-10,230.217114,265766.286
Dec-10,230.6850673,265209.664
Jan-11,231.25850209999996,267452.67
Feb-11,229.18890130000003,264061.175
Mar-11,226.82182769999997,261344.43300000002
Apr-11,225.32156080000001,261170.678
May-11,224.58046549999997,260615.926
Jun-11,227.67996719999996,263343.557
Jul-11,228.64563790000003,264752.947
Aug-11,230.73975409999997,266250.336
Sep-11,228.6537557,264093.52
Oct-11,229.35927180000004,265439.38800000004
Nov-11,231.94704069999997,268440.99
Dec-11,233.06183289999998,269371.485
Jan-12,232.5055074,269775.376
Feb-12,234.932451,271319.097
Mar-12,232.98570750000002,270345.793
Apr-12,233.2558265,271572.966
May-12,232.7385409,270317.295
Jun-12,232.3117995,269508.524
Jul-12,233.35301,270836.798
Aug-12,234.06421559999998,271115.445
Sep-12,231.571455,269054.106
Oct-12,233.81433430000004,271206.036
Nov-12,235.137256,272651.372
Dec-12,234.22891969999998,271611.401
Jan-13,232.5304528,269284.119
Feb-13,232.3973233,268700.315
Mar-13,232.05452369999998,269371.168
Apr-13,234.17532290000003,271931.07300000003
May-13,234.1813238,272223.631
Jun-13,234.0629165,272176.054
Jul-13,236.8767339,274724.715
Aug-13,236.233984,274335.519
Sep-13,234.6761415,272350.412
Oct-13,235.42764680000005,273115.185
Nov-13,236.6910824,273950.318
Dec-13,236.51397459999998,274238.339
Jan-14,236.6659153,274616.22
Feb-14,238.3383787,276229.419
Mar-14,236.26953980000002,274747.452
Apr-14,236.44145980000002,275404.57899999997
May-14,236.9388249,276738.28
Jun-14,239.2204015,279152.92600000004
Jul-14,240.33875989999999,279735.969
Aug-14,241.11118650000003,280945.235
Sep-14,242.4534003,282668.12100000004
Oct-14,245.53227579999998,286208.99100000004
Nov-14,243.94053080000003,284521.36199999996
Dec-14,246.7002192,286782.771
Jan-15,243.35033140000002,283394.16
Feb-15,244.4098506,283112.19
Mar-15,245.71194599999998,286303.74600000004
Apr-15,245.5955051,286483.845
May-15,245.2905901,287245.415
Jun-15,247.53821499999998,288889.295
Jul-15,249.2565525,290566.858
Aug-15,249.01393240000002,290334.316
Sep-15,248.29364019999997,289666.30199999997
Oct-15,248.5313159,290281.669
Nov-15,248.91736129999998,291112.31
Dec-15,249.85639390000003,290975.618
Jan-16,248.4758169,290455.804
Feb-16,247.80537769999998,287923.562
Mar-16,247.657939,288423.771
Apr-16,246.2832611,287446.372
May-16,244.67081659999997,285931.673
Jun-16,246.32808909999997,287438.83
Jul-16,248.8776148,290606.127
Aug-16,247.36044130000002,287620.662
Sep-16,247.20706719999998,288073.25800000003
Oct-16,249.69829109999998,291784.471
Nov-16,252.75182489999997,295191.32399999996
Dec-16,250.96173169999997,291927.675
Jan-17,247.43442180000002,288973.028
Feb-17,248.24225209999997,289429.136
Mar-17,247.2464026,287497.239
Apr-17,245.6844148,286877.55
May-17,248.3178852,289741.72
Jun-17,250.5086374,291875.415
Jul-17,251.92201180000004,294037.9
Aug-17,250.381458,291783.839
Sep-17,250.33759640000002,292217.818
Oct-17,251.41934269999996,293700.468
Nov-17,253.6394221,295432.243
Dec-17,252.01034860000001,293199.718
Jan-18,252.6746196,294525.3
Feb-18,253.5288641,295367.562
Mar-18,253.709623,295706.09
Apr-18,253.05865519999998,295885.005
May-18,252.98541569999998,295849.443
Jun-18,255.2730707,298371.656
Jul-18,257.3541451,300698.80100000004
Aug-18,258.9318601,302101.64
Sep-18,258.00211980000006,302215.077
Oct-18,260.4452673,304741.655
Nov-18,260.7747422,305019.179
Dec-18,258.8960745,303033.664
Jan-19,255.8104852,298683.284
Feb-19,255.46811200000002,298063.441
Mar-19,254.5233025,298013.623
Apr-19,254.81416009999998,298315.38300000003
May-19,253.8346124,297656.18100000004
Jun-19,255.32402140000002,298811.568
Jul-19,254.60044059999998,297266.932
