Year,Country,Latitude,Longitude,,1982
1983,Mexico_Land,23.6345,-102.5528,,1917
1983,Mexico_Offshore,19.594255,-91.569396,,324
1983,Peru_Land,-9.189967,-75.015152,,121
1983,Peru_Offshore,-11.890521,-79.105005,,70
1983,Trinidad_Land,10.6918,-61.2225,,68
1983,Trinidad_Offshore,10.57374,-60.890859,,49
1983,Venezuela_Land,6.4238,-66.5897,,347
1983,Venezuela_Offshore,9.183729,-60.200212,,150
1983,Australia_Land,-25.274398,133.775136,,176
1983,Australia_Offshore,-29.599699,113.685338,,121
1983,Bangladesh_Land,23.6850,90.3563,,22
1983,Bangladesh_Offshore,21.60567,90.597855,,0
1983,Brunei_Land,4.535277,114.727669,,32
1983,Brunei_Offshore,5.151965,114.665627,,89
1983,India_Land,20.593684,78.96288,,499
1983,India_Offshore,14.98184,81.87398,,173
1983,Indonesia_Land,-0.789275,113.921327,,746
1983,Indonesia_Offshore,14.98184,81.87398,,306
1983,Japan_Land,36.2048,138.2529,,215
1983,Japan_Offshore,38.601583,137.300839,,23
1983,Malaysia_Land,4.210484,101.975766,,0
1983,Malaysia_Offshore,3.50164,110.229356,,118
1983,Myanmar_Land,21.9140,95.9562,,425
1983,Myanmar_Offshore,15.93001,96.427671,,12
1983,New Zealand_Land,-40.9006,174.8860,,20
1983,New Zealand_Offshore,-39.291592,173.493089,,7
1983,Papua New Guinea_Land,-6.3150,143.9556,,7
1983,Papua New Guinea_Offshore,-9.231086,126.119217,,9
1983,Phillippines_Land,12.879721,121.774017,,89
1983,Phillippines_Offshore,8.166545,121.418401,,3
1983,Taiwan_Land,23.69781,120.960515,,51
1983,Taiwan_Offshore,22.143055,120.035738,,6
1983,Thailand_Land,15.8700,100.9925,,74
1983,Thailand_Offshore,12.269503,100.804317,,76
1983,Vietnam_Land,14.0583,108.2772,,0
1983,Vietnam_Offshore,11.868672,109.874274,,0
,,,,,
1984,US_Land,37.0902,-95.7129,,
1984,US_Offshore,28.126707,-91.305831,,
1984,Canada_land,56.1304,-106.3468,,
1984,Canada_Offshore,47.355629,-51.61464,,
1984,Austria_Land,47.5162,14.5501,,81
